modelo,kernel,hiperparametros,mae_train,mae_test,rmse_train,rmse_test,r2_train,r2_test,diferencia_rmse_train_test,tiempo_entrenamiento_seg,tiempo_prediccion_seg,diagnostico
svr_linear_c2_e01,linear,"{""kernel"": ""linear"", ""C"": 2.0, ""epsilon"": 0.1}",622.7388616768178,516.167292430265,4447.905176159992,3985.5096164213887,-0.004670405580067705,-0.0030013135534638913,-462.3955597386034,0.6943528749980032,0.6564542500418611,Desajuste
svr_linear_c0_5_e01,linear,"{""kernel"": ""linear"", ""C"": 0.5, ""epsilon"": 0.1}",625.472058000741,519.0698953118905,4455.245268933483,3992.746847693806,-0.007989027906648571,-0.006647293057824966,-462.4984212396771,0.6378173329867423,0.5573630839935504,Desajuste
svr_poly_c2_d3_e01,poly,"{""kernel"": ""poly"", ""C"": 2.0, ""gamma"": 0.01, ""degree"": 3, ""epsilon"": 0.1}",627.2341074320286,521.7185322951789,4461.48537081027,3998.591908861682,-0.01081462279988843,-0.009596752172989387,-462.8934619485881,0.6894555410253815,0.5760014579864219,Desajuste
svr_rbf_c3_g002_e01,rbf,"{""kernel"": ""rbf"", ""C"": 3.0, ""gamma"": 0.02, ""epsilon"": 0.1}",637.9328731322762,530.7333738362131,4468.388314376365,4004.2412059370113,-0.013944967825995747,-0.012451527619898206,-464.1471084393538,0.6917664170032367,2.2257492910139263,Desajuste
svr_poly_c1_d2_e01,poly,"{""kernel"": ""poly"", ""C"": 1.0, ""gamma"": 0.01, ""degree"": 2, ""epsilon"": 0.1}",640.0284340420177,531.8671773491415,4469.322347098806,4004.631184023471,-0.014368904464619803,-0.012648745077964652,-464.69116307533477,0.6924645830295049,0.5746568750473671,Desajuste
svr_rbf_c1_g001_e01,rbf,"{""kernel"": ""rbf"", ""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.1}",650.4868901783877,541.3902214516257,4473.228986578307,4007.1208532811033,-0.016143001400757973,-0.013908258892397996,-466.1081332972035,0.7171500829863362,2.247143083019182,Desajuste
