Algoritmo,Mejor modelo o configuración,Accuracy_train,Accuracy_test,Precision_macro,Recall_macro,F1_macro,F1_weighted,Tiempo_procesamiento_seg,Diferencia_train_test,Diagnóstico de ajuste,Comentario breve
Random Forest,rf_200_d20_l2,0.9914583333333333,0.7091666666666666,0.7045164779385553,0.7083535020168684,0.7057863594620851,0.7064621555914152,0.4726632499950938,0.2856668215531979,Sobreajuste,Configuración reentrenada con el split actual; la clase más difícil fue media.
SVM,svm_rbf_c3_g002,0.820625,0.6925,0.6940227703984819,0.6918538520518718,0.6924762766645335,0.6931011055943183,2.232469749986194,0.12769828871564715,Ligero sobreajuste,Se compararon varias variantes de kernel; la clase con mayor dificultad fue media.
Logistic Regression,logreg_c1.0_balanced,0.6860416666666667,0.6716666666666666,0.6694382876010554,0.6708600860086008,0.6699749303722554,0.6707050952871075,0.14026841701706871,0.014357098128952694,Ajuste aceptable,No se encontró implementación previa en el repo; se añadió como baseline faltante.
KNN,knn_k21_distance_p1,1.0,0.6566666666666666,0.6610939245040327,0.6560441044104411,0.6566598545055712,0.6572063432642186,0.5925551659893245,0.3433401454944288,Sobreajuste,La configuración proviene del enfoque de tuneo del Lab6 y se recalculó con la partición actual.
Decision Tree,dt_depth8_leaf20,0.715,0.64,0.6394117576184395,0.6393752708604193,0.639187275049344,0.6397623592244283,0.0985267500509508,0.07542179292346818,Ligero sobreajuste,Configuración reentrenada con el split actual; la clase más difícil fue media.
Naive Bayes,gnb_vs_1e-06,0.6164583333333333,0.6058333333333333,0.5857217722889365,0.6041174950828415,0.5758192758408193,0.5770341638401378,0.07184679101919755,0.010052325978687993,Intermedio,Se reutilizó la lógica de GaussianNB de Lab5 y se recalculó con el split actual.
